12,Fecha,¿Qué hice ayer? (o día hábil anterior),¿Qué voy a hacer hoy?,Blocks,Detalle bloqueantes
Federico,01-06-17," Error ""Complete este campo"", restricciones en la edición de destacados, planning.",Validación correcciones iOS de Pablo.,Si,Devices & cables.
Johan,01-06-17,Tokko (está para testing).,Investigando jumpcloud porque toca la herramienta de fix y pidiendo data de stockars.,Si,"faltan detalles en tarjetas jumpcloud y stockars, Miguel de vacaciones, falta acceso al ambiente de QA, https://trello.com/c/hlxcKvyu/95-casos-de-usuarios-profesional-profile qué hacemos?"
Jorge,01-06-17,DFP,DFP,No,
Noelia,01-06-17,validaciones front end y smyte,Smyte,Si,faltan datos en el req smyte
Pablo,01-06-17,fix mensajes anteriores no se actualizan,fix mensajes anteriores no se actualizan,No,
Federico,02-06-17,"Fix de Android ventanas & intermitencia, fix de iOS para los mensajes.
",Smoke de Android para revisar RC. Revisión de plataformas por nueva subcategoría en Perú.,Si,Devices
Johan,02-06-17,Jumpcloud y stockars,"correcciones tokko, Jumpcloud y stockars",Si,"Falta acceso al ambiente de QA TOKKO, falta instalar ambiente monetizator y ultron local."
Jorge,02-06-17,Bugs Chat,"usuarios smyte que no se bloquean, Jumpcloud",Si,"Falta instalar ambiente monetizator y ultron local.
"
Noelia,02-06-17,"Intermitencia, Smyte, diálogos.","Diálogos, smyte, RC.",No,
Pablo,02-06-17,"fix mensajes anteriores no se actualizan, cambio de arquitectura","cambio de arquitectura, validación front-end",No,
Federico,06-06-17,"Probar subcategoría Perú, anuncios publicados OK aparecen ""no disponibles"", cambio en arquitectura","iOS: validaciones de front end faltantes, subcategoría en Perú.",No,
Johan,06-06-17,Levantar entorno de Ultron (relacionado con JumpCloud.) / Tokko.,Avanzar con testing de Tokko / Auto aprobación de anuncios.,Si,No sabemos con certeza cómo testear tokko. Voy tocando de oido en esta
Jorge,06-06-17,"Logré levantar monetizator, pero intenta autenticarse contra https://ultron-testing.olxlatam.com/v1.0/login y al parecer no tengo acceso (VPN?). Hablé con Marcos por el tema de los bugs de chat y me dio la info que necesitaba para ver si puedo solucionarlos o no.","Con lo que hablé ayer con Marcos, voy a ver si puedo avanzar con los bugs de chat",Si,Acceso a https://ultron-testing.olxlatam.com/v1.0/login?
Noelia,06-06-17,Intermitencia y le di una mano a fede con lo de android. Me enoje con comscore tambien,arrancar a ver otro bug de chat: Mensajes enviados de uno no se ven en el otro. Y ver la ajustes de comscore,Si,Comscore es poco amigable y el manual está desactualizado.
Pablo,06-06-17,iOS: Validaciones front end faltantes,iOS: Restricciones en edición de destacados,No,
Federico,07-06-17,"iOS: validaciones de front end faltantes, subcategoría en Perú.",probar subcategoría perú,No,
Johan,07-06-17,Testing Tokko / Auto Aprobación de anuncios. ,Testing Tokko / Auto aprobación de anuncios. ,No,
Jorge,07-06-17,Intenté aplicar lo que me dijo Marcos para los bugs del chat sin éxito.,Voy a hablar con Marcos nuevamente para comentarle el tema y ver alternativas. Martín me acaba de pedir habilitar un ad en Uruguay.,Si," Acceso a https://ultron-testing.olxlatam.com/v1.0/login (por lo de monetizator local).Recién se lo comenté a Martín, dijo que podría ver con la gente de Infra, lo que están evaluando con Infra es lo de jumpcloud y okta y eso impactaría directamente en mi necesidad de acceder a esa url o no"
Noelia,07-06-17,Ver que era lo de comscore y resolverlo. Vpn que no se pudo,hablar con marcos a ver si le gusta lo que pensé. seguir con lo de la intermitencia cuando aparezca fede,No,
Pablo,07-06-17,"iOS: Restricciones en edición de destacados, Bug Android/iOS & Web: Mensajes enviados de uno no se ven en el otro. Intentar instalar la vpn, no se pudo y me van a mandar un mail con la solucion (en teoria)",No se aún con que seguir. Los mensajes que se pierden no puedo hacer nada y estaba viendo el limite de mensajes enviados del chat.,No,
Federico,08-06-17,probar subcategoría perú,"probar subcategoría perú, faltante de mensajes luego de intermitencia",No,
Johan,08-06-17,VE 8 - Actualizar integración actual con Tokko según nuevas especificaciones de su API / Sacar la auto-aprobación de anuncios. ,VE 8 - Actualizar integración actual con Tokko según nuevas especificaciones de su API / Sacar la auto-aprobación de anuncios. ,Si,stoy esperando que lo de Tokko funcione como se espera para probar La auto aprobación
Jorge,08-06-17,"Agregar takeover para Uruguay (https://trello.com/c/xrEA3hi1) , Seguí con el card de bug chat que viene del sprint pasado (https://trello.com/c/kdpedAKC) y que espero terminarlo hoy. intenté hablar con Marcos por el tema de los otros dos bugs del chat (https://trello.com/c/U3f2HWOA, https://trello.com/c/mDUAeRVO), pero me dijo que estaba complicado con una release, que lo podríamos ver hoy, levanté ultron de manera local, aunque no sé qué hacer con él (relacionado a las tareas de Jumpcloud y Okta)","Intentar hablar con Marcos por le tema de los bugs chat, Pasar a testing/staging los cambios de Takeover para Uruguay, Terminar (https://trello.com/c/kdpedAKC)",No,
Noelia,08-06-17,Me puse a ver lo de las push vacías y a ver con Pablo lo de los mensajes que no se ven en otros dispositivos,hablar con marcos a ver si le gusta lo que pensé de comscore (ayer no lo hice xq lo vi a mil). intermitencia con fede,Si,a mi me faltaria una revision de un pull request de las validaciones front end.
Pablo,08-06-17,Bug Android/iOS & Web: Mensajes enviados de uno no se ven en el otro,Bug Android/iOS & Web: Mensajes enviados de uno no se ven en el otro,Si,Bug Android/iOS & Web: Mensajes enviados de uno no se ven en el otro
Federico,09-06-17,"probar subcategoría perú, intermitencia de chat.",ads Uruguay y smoke chat,Si,Chat en staging andaba mal
Johan,09-06-17,VE 8 - Actualizar integración actual con Tokko según nuevas especificaciones de su API / Sacar la auto-aprobación de anuncios. ,Tokko y anuncios que no se aprueban.,Si,Acceso a plataforma de testing hace que dependa de Nicola.
Jorge,09-06-17,Bug chat: mala conexión.,Bug chat: mala conexión. Pasar a testing ads Uruguay. DFP con Ezequiel. ,Si,Tiempos de Marcos
Noelia,09-06-17,Push notifications vacíos. Error en categoría.,Push notifications vacíos.,No,
Pablo,09-06-17,Bug Android/iOS & Web: Mensajes enviados de uno no se ven en el otro,Bug Android/iOS & Web: Mensajes enviados de uno no se ven en el otro,No,
Jorge,12-06-17," Bug chat: mala conexión, pasaron a staging ads Uruguay junto con otras cosas de Perú (ignoro si ya está en producción), ",Intentar cerrar bug de chat: mala conexión y hablar con Marcos por los otros dos bugs de chat,Si,Tiempos de Marcos
Noelia,12-06-17,"Push con mensaje vacío, ya lo mande para revision",Bug Android: Indicador de mensajes no leídos marca 10 cuando hay >=100 mensajes,Si,tengo varias cosas esperando el code review
Johan,12-06-17,Tokko y Auto aprobación de anuncios. ,Tokko y Auto aprobación de anuncios. ,Si,No me aprueban el Pull Request no se por qué
Pablo,12-06-17,Bug Android/iOS & Web: Mensajes enviados de uno no se ven en el otro. (no lo pude resolver.),Preguntarle a Blas herrara por FB Advertising. Lo otro que me queda es “Bugs chat: faltante de mensajes luego de intermitencia”. (no creo que pueda hacer nada por como es el framework.),No,
Federico,12-06-17,ads Uruguay y smoke chat,Ads Uruguay,No,
Lionel,13-06-17,Hoy no hubo daily por planning/retro,,No,
Jorge,14-06-17,"Bugs de chat y experimentos con la librería que usa OLX (stanza.io); algo de Smyte que pidió Pedro (dice que hay mensajes de spammers que siguen llegando, no lo pude reproducir)",Bugs de chat y experimentos con la librería que usa OLX (stanza.io); retro; planning;,No,
Federico,14-06-17,"* Smoke test chat 09-06-2017
* Las notificaciones que se reciben en el dispositivo cuando se aprueba una publicación, no tienen texto.",* Smoke test chat 09-06-2017,No,
Noelia,14-06-17,Error en la publicación cuando no puede inferir el servicio., Deep link para Wallet en pantalla de selección de paquete preferido,No,
Johan,14-06-17,Tokko / CRM Pilot,Stockars / Tokko ,Si,"El ciclo de aprobar los PR a testing se tarda 3 dias por iteración, EL servicio de localizacion no funciona, no se como levantarlo"
Pablo,14-06-17,iOS - Limitar los mensajes del backend a 500. Bug Android/iOS & Web: Mensajes enviados de uno no se ven en el otro,Por ahora Bug Android/iOS & Web: Mensajes enviados de uno no se ven en el otro.,No,
Pablo,15-06-17,Bug de intermitencia de los mensajes de chat.,"No se con que seguir, no puedo hacer nada con eso.",Si,No se con que seguir.
Noelia,15-06-17,Deep link para Wallet en pantalla de selección de paquete preferido,Deep link para Wallet en pantalla de selección de paquete preferido,No,
Jorge,15-06-17,"Bugs de chat y experimentos con la librería que usa OLX (stanza.io), no están yendo muy bien.",Bugs de chat y experimentos con la librería que usa OLX (stanza.io); hablar con Marcos para pedirle permisos a la réplica del chat,No,
Federico,15-06-17,Bug Android: Indicador de mensajes no leídos marca 10 cuando hay >=100 mensajes,"Error en la publicación cuando no puede inferir el servicio
Bugs Chat: Procesamiento en Android
iOS: Restricciones en edición de destacados",No,
Johan,15-06-17,Tokko,Tokko,Si,"un servicio de localización no me levanta en el local y no puedo probar
ayer lo vi con Rodrigo García, lo reinició en mi máquina y levantó.  Hoy no levanta de nuevo"
Jorge,16-06-17,Bugs chat y agregar Google Analytics,Google Analytics,No,
Johan,16-06-17,Tokko,Tokko,Si,Por falta de documentación y de referente OLX la ingeniería inversa lleva mucho tiempo. Coordenadas y otras dependencias sin funcionar.
Noelia,16-06-17,Deep link para Wallet en pantalla de selección de paquete preferido.,Deep link para Wallet en pantalla de selección de paquete preferido. Hay que chequear un parámetro por una posible solución.,Si,Respuesta de Marcos necesaria por parámetro para un serviio.
Pablo,16-06-17,Intermitencia.,Intermitencia: hoy pull request.,No,
Federico,16-06-17,"Error en la publicación cuando no puede inferir el servicio
Bugs Chat: Procesamiento en Android
iOS: Restricciones en edición de destacados
Backend 500 mensajes.",,No,
Noelia,19-06-17,"Empece a ver lo del orden en las publicaciones, armar entorno de abl y smaug",estaba leyendo un poco de Scala y tratando de entender smaug,Ni,Scala es desafiante
Pablo,19-06-17,Se mandó el pull request de los mensajes de pull request que se pierden. Empecé a leer sobre facebook ads., Se verificó que “iOS: Validar formato de mail en la registración” es not a bug. No se con que seguir.,Si,Sin tickets para seguir
Jorge,19-06-17,"Arranqué con lo de Analytics, Pedro sobre el final del día preguntó por un usuario que está bloqueado y siguen llegando sus mensajes",Analytics,Si,Acceso a Google Tag Manager (se supone Josefina Espelet me lo va a conseguir)
Johan,19-06-17,Tokko,Tokko,No,
,19-06-17,,Smoke test de iOS,No,
Lionel,20-06-17,Hoy no hubo daily por feriado nacional,,No,
Noelia,21-06-17,Lei un poco de Scala y trate de entender y seguir smaug.,Orden en las publicaciones: abl y smaug,No,
Pablo,21-06-17,Estuve con “key value en all non-categories de DFP” y “iOS: Mensajes que se envian cuando el receptor esta desconectado se reciben esporadicamente al reconectarse”,iOS: Mensajes que se envian cuando el receptor esta desconectado se reciben esporadicamente al reconectarse,No,
Johan,21-06-17,"Tokko, reunion con TECNOM",usuarios que no pueden crear perfil profesional.,Si,Pull request pendiente por German
Jorge,21-06-17,Analytics,Analytics,No,
Federico,21-06-17,Smoke test de iOS,"Esperando asignación, validando tarjetas próximas",No,
Jorge,22-06-17,Analytics,Analytics,No,
Federico,22-06-17,Cuenta y mensajes erróneos,Cuenta y mensajes erróneos,Ni,La tarjeta tiene mucho humo
Pablo,22-06-17,iOS: Mensajes que se envian cuando el receptor esta desconectado se reciben esporadicamente al reconectarse.,iOS: Mensajes que se envian cuando el receptor esta desconectado se reciben esporadicamente al reconectarse.,No,
Noelia,22-06-17,Orden en las publicaciones: abl y smaug,Orden en las publicaciones: abl,No,
Johan,22-06-17,Usuarios no pueden crear el perfil profesional / Cambiar longitud del campo contact_mapping.description en la DB.,Tokko,No,
,23-06-17,,,No,
,23-06-17,,,No,
,23-06-17,,,No,
,23-06-17,,,No,
,23-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,
,01-06-17,,,No,